,url,mitre_domain,tactic_name,tech_name,tech_id
0,https://www.symantec.com/connect/blogs/shamoon-attacks,['enterprise-attack'],['impact'],"['Disk Structure Wipe', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1485', 'T1561.002']"
1,https://www.fireeye.com/blog/threat-research/2016/11/fireeye_respondsto.html,['enterprise-attack'],['impact'],"['Disk Structure Wipe', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1485', 'T1561.002']"
2,http://researchcenter.paloaltonetworks.com/2016/11/unit42-shamoon-2-return-disttrack-wiper/,['enterprise-attack'],"['impact', 'defense-evasion']","['Disk Structure Wipe', 'Masquerade Task or Service', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1036.004', 'T1485', 'T1561.002']"
3,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07180722/Report_Shamoon_StoneDrill_final.pdf,['enterprise-attack'],['impact'],"['Disk Structure Wipe', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1485', 'T1561.002']"
4,https://unit42.paloaltonetworks.com/shamoon-3-targets-oil-gas-organization/,['enterprise-attack'],['impact'],"['Disk Structure Wipe', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1485', 'T1561.002']"
5,https://www.cybereason.com/blog/dropping-anchor-from-a-trickbot-infection-to-the-discovery-of-the-anchor-malware,['enterprise-attack'],['credential-access'],['Password Managers'],['T1555.005']
6,https://www.welivesecurity.com/wp-content/uploads/2019/05/ESET-LightNeuron.pdf,['enterprise-attack'],['persistence'],['Transport Agent'],['T1505.002']
7,https://blogs.cisco.com/security/evolution-of-attacks-on-cisco-ios-devices,['enterprise-attack'],"['defense-evasion', 'persistence', 'command-and-control', 'execution']","['Reduce Key Space', 'Weaken Encryption', 'Traffic Signaling', 'Network Device CLI', 'ROMMONkit', 'Non-Application Layer Protocol', 'Downgrade System Image']","['T1600.001', 'T1600', 'T1205', 'T1059.008', 'T1542.004', 'T1095', 'T1601.002']"
8,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/,['enterprise-attack'],['defense-evasion'],"['Deobfuscate/Decode Files or Information', 'Obfuscated Files or Information']","['T1140', 'T1027']"
9,https://web.archive.org/web/20190717233006/http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the-elderwood-project.pdf,['enterprise-attack'],['initial-access'],['Supply Chain Compromise'],['T1195']
