,url,mitre_domain,tactic_name,tech_name,tech_id
0,https://capec.mitre.org/data/definitions/578.html,['enterprise-attack'],['defense-evasion'],"['Disabling Security Tools', 'Disable or Modify Tools']","['T1089', 'T1562.001']"
1,https://capec.mitre.org/data/definitions/163.html,['enterprise-attack'],['initial-access'],"['Spearphishing Attachment', 'Spearphishing Link', 'Spearphishing Attachment', 'Spearphishing via Service', 'Spearphishing via Service', 'Spearphishing Link']","['T1566.001', 'T1192', 'T1193', 'T1194', 'T1566.003', 'T1566.002']"
2,https://docs.microsoft.com/en-us/microsoft-365/security/office-365-security/anti-spoofing-protection?view=o365-worldwide,['enterprise-attack'],"['initial-access', 'reconnaissance']","['Spearphishing Attachment', 'Spearphishing Attachment', 'Phishing', 'Phishing for Information', 'Spearphishing Link', 'Spearphishing Link']","['T1566.001', 'T1598.002', 'T1566', 'T1598', 'T1566.002', 'T1598.003']"
3,https://msdn.microsoft.com/library/windows/desktop/ms680573.aspx,['enterprise-attack'],"['execution', 'lateral-movement', 'defense-evasion', 'persistence']","['Component Object Model', 'Distributed Component Object Model', 'Component Object Model and Distributed COM', 'BITS Jobs']","['T1559.001', 'T1021.003', 'T1175', 'T1197']"
4,https://googleprojectzero.blogspot.com/2018/04/windows-exploitation-tricks-exploiting.html,['enterprise-attack'],"['execution', 'lateral-movement']","['Component Object Model', 'Component Object Model and Distributed COM']","['T1559.001', 'T1175']"
5,https://capec.mitre.org/data/definitions/471.html,['enterprise-attack'],"['persistence', 'privilege-escalation', 'defense-evasion']","['DLL Search Order Hijacking', 'DLL Search Order Hijacking', 'Dylib Hijacking', 'Dylib Hijacking']","['T1574.001', 'T1038', 'T1157', 'T1574.004']"
6,https://docs.microsoft.com/en-us/windows/win32/dlls/dynamic-link-library-search-order?redirectedfrom=MSDN,['enterprise-attack'],"['persistence', 'privilege-escalation', 'defense-evasion']",['DLL Search Order Hijacking'],['T1574.001']
7,https://docs.microsoft.com/en-us/security-updates/securityadvisories/2010/2269637,['enterprise-attack'],"['persistence', 'privilege-escalation', 'defense-evasion']",['DLL Search Order Hijacking'],['T1574.001']
8,https://docs.microsoft.com/en-us/windows/win32/dlls/dynamic-link-library-redirection?redirectedfrom=MSDN,['enterprise-attack'],"['persistence', 'privilege-escalation', 'defense-evasion']",['DLL Search Order Hijacking'],['T1574.001']
9,https://msdn.microsoft.com/en-US/library/aa375365,['enterprise-attack'],"['persistence', 'privilege-escalation', 'defense-evasion']","['DLL Search Order Hijacking', 'DLL Search Order Hijacking']","['T1574.001', 'T1038']"
10,https://capec.mitre.org/data/definitions/637.html,['enterprise-attack'],['collection'],['Clipboard Data'],['T1115']
11,https://msdn.microsoft.com/en-us/library/ms649012,['enterprise-attack'],['collection'],['Clipboard Data'],['T1115']
12,https://github.com/huntergregal/mimipenguin,['enterprise-attack'],['credential-access'],['Proc Filesystem'],['T1003.007']
13,https://github.com/GhostPack/KeeThief,['enterprise-attack'],['credential-access'],['Password Managers'],['T1555.005']
